Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_mid_rotaback_link1,-0.0199604212697355,-1.11555281103945E-06,-0.0153905493916313,0,0,0,0.00148470909199457,3.65714434885842E-07,-1.35959120210099E-11,1.57474468544563E-08,3.3438712149679E-07,7.17665543750969E-11,4.24619424624147E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rotaback_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rotaback_link1.STL,,Z3-4,rmf3,d3,right_hand_mid_rotaback_joint1,fixed,0,0,0.0345,0,0,0,right_hand_mid_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_mid_rota_link2,-0.00361835937101111,3.42636230876801E-05,0.0221934729698274,0,0,0,0.00859378308105637,1.13123777562686E-06,2.10361210584172E-09,-5.59174299746276E-08,1.18838161805874E-06,-9.42023233308084E-10,3.64632289452177E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link2.STL,,Z4-4,rmf3,d3,right_hand_mid_rota_joint2,revolute,0,0,0.0345,0,0,0,right_hand_mid_rota_link1,0,1,0,0.302,1.98,0,1.571,,,0,0,,,,
right_hand_mid_rotaback_link2,-0.011111559999976,-3.2722013561564E-05,-0.0136070382532542,0,0,0,0.00116147618909537,1.77420566048387E-07,-1.97129102209267E-11,8.32553118297594E-09,1.56580880061293E-07,-2.45989597280338E-10,2.8336196572649E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rotaback_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rotaback_link2.STL,,Z5-4,rmf4,d4,right_hand_mid_rotaback_joint2,fixed,-0.00450000001858886,0,0.0374168958516306,0,0,0,right_hand_mid_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_mid_rota_link3,-0.000426169794988716,2.78678852924825E-06,0.0156390627834363,0,0,0,0.00424361355099609,2.96153782949556E-07,9.21413243792535E-12,5.65966274796101E-09,3.0114990081735E-07,-1.27748349737846E-10,1.39443668621215E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link3.STL,,Z6-4,rmf4,d4,right_hand_mid_rota_joint3,revolute,-0.0045,0,0.037417,0,0,0,right_hand_mid_rota_link2,0,1,0,0.295,2,0,1.571,,,0,0,,,,
right_hand_mid_rota_link4,2.8796409701215E-16,-2.57207449783081E-14,2.77555756156289E-17,0,0,0,3.18086256175967E-07,1.10054531238383E-13,6.54461959129805E-27,-1.54021874394387E-41,8.05155835945416E-15,5.54017255526534E-29,1.10054531238383E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link4.STL,,固定块-8,rmf5,d5,right_hand_mid_rota_joint4,fixed,0.00791114210899072,0,0.0181728187019025,0,0,0,right_hand_mid_rota_link3,0,0,0,,,,,,,0,0,,,,
right_hand_mid_rota_link5,2.88831458750138E-16,-2.52263487876547E-14,8.32667268468867E-17,0,0,0,3.18086256175966E-07,1.10054531238383E-13,6.54256718273631E-27,-1.20233697323539E-41,8.05155835945415E-15,2.9831698390032E-29,1.10054531238383E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_rota_link5.STL,,固定块-9,rmf6,d6,right_hand_mid_rota_joint5,fixed,0,0,0.0312512504715699,0,0,0,right_hand_mid_rota_link3,0,0,0,,,,,,,0,0,,,,
right_hand_ring_bend_link,0.000800179544817464,-1.23685783837146E-15,0.0116298858976672,0,0,0,0.00264577949464747,1.62652287237183E-07,5.3711895765693E-21,1.88538931095091E-08,1.63545641461914E-07,1.80565433294367E-21,1.29890216374731E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_bend_link.STL,,Z1-2,rrf1,e1,right_hand_ring_bend_joint,revolute,0.0045,-0.014087,0.094293,0,0,0,right_hand_link,-1,0,0,0.295,2,-0.785,0.262,,,0,0,,,,
right_hand_ring_rota_link1,-0.00460077434233608,2.6495532504528E-06,0.0165208271725728,0,0,0,0.0167190180934833,2.97069884486042E-06,-2.97104981833596E-10,1.02019623788466E-07,3.49315669425417E-06,-6.80001621998876E-10,1.17769687118889E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link1.STL,,Z2-2,rrf2,e2,right_hand_ring_rota_joint1,revolute,0.0055,0,0.0233,0,0,0,right_hand_ring_bend_link,0,1,0,0.884,1.696,0,1.745,,,0,0,,,,
right_hand_ring_rotaback_link1,-0.0199604212697358,-1.11555281101863E-06,-0.0153905493916261,0,0,0,0.0014847090919953,3.65714434886658E-07,-1.35959120200241E-11,1.57474468581706E-08,3.34387121496549E-07,7.17665543815063E-11,4.24619424613944E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rotaback_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rotaback_link1.STL,,Z3-2,rrf3,e3,right_hand_ring_rotaback_joint1,fixed,0,0,0.0345,0,0,0,right_hand_ring_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_ring_rota_link2,-0.00361835937196581,3.42636238935129E-05,0.0221934729716685,0,0,0,0.00859378307966483,1.1312377754026E-06,2.10361214938109E-09,-5.59174298762948E-08,1.18838161781987E-06,-9.4202331616029E-10,3.64632289364239E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link2.STL,,Z4-2,rrf3,e3,right_hand_ring_rota_joint2,revolute,0,0,0.0345,0,0,0,right_hand_ring_rota_link1,0,1,0,0.302,1.98,0,1.571,,,0,0,,,,
right_hand_ring_rotaback_link2,-0.0111115604094498,-3.27208199343895E-05,-0.0136070385820325,0,0,0,0.00116147631839947,1.77420558126185E-07,-1.97126782306639E-11,8.32553950618018E-09,1.56580891512296E-07,-2.46003511286243E-10,2.83361821358609E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rotaback_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rotaback_link2.STL,,Z5-2,rrf4,e4,right_hand_ring_rotaback_joint2,fixed,-0.00450000001858883,0,0.0374168958516306,0,0,0,right_hand_ring_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_ring_rota_link3,-0.000426169587574249,2.78668802122968E-06,0.0156390621636113,0,0,0,0.00424361327992521,2.96153753949781E-07,9.21571949092602E-12,5.65967183441716E-09,3.0114986984919E-07,-1.27753400307811E-10,1.39443664630666E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link3.STL,,Z6-2,rrf4,e4,right_hand_ring_rota_joint3,revolute,-0.0045,0,0.037417,0,0,0,right_hand_ring_rota_link2,0,1,0,0.295,2,0,1.571,,,0,0,,,,
right_hand_ring_rota_link4,3.00107161343988E-16,-2.48655263046516E-14,5.55111512312578E-17,0,0,0,3.18086256175966E-07,1.10054531238382E-13,1.55388498946315E-28,-2.20296187123595E-40,8.05155835945415E-15,4.89718400957008E-29,1.10054531238382E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link4.STL,,固定块-4,rrf5,e5,right_hand_ring_rota_joint4,fixed,0.00791114210899012,0,0.0181728187019025,0,0,0,right_hand_ring_rota_link3,0,0,0,,,,,,,0,0,,,,
right_hand_ring_rota_link5,3.11382863937837E-16,-2.48689957516035E-14,0,0,0,0,3.18086256175966E-07,1.10054531238382E-13,6.88399125506086E-30,-2.96644569567473E-31,8.05155835945414E-15,-2.13799871341997E-29,1.10054531238382E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_rota_link5.STL,,固定块-5,rrf6,e6,right_hand_ring_rota_joint5,fixed,0,0,0.0312512504715699,0,0,0,right_hand_ring_rota_link3,0,0,0,,,,,,,0,0,,,,
right_hand_ltspalm_link,-0.00282840942863086,-0.0108786836911325,0.0259210776367877,0,0,0,0.0136437237956044,5.98658595806311E-06,-2.92684343441361E-08,-1.06679719497975E-06,5.94721375950935E-06,-3.0294344573875E-08,1.41511554819964E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ltspalm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ltspalm_link.STL,,R6-1;R7-1,h2,a2,right_hand_ltspalm_joint,revolute,0.0115,-0.0265,0.041,0,0,0,right_hand_link,0,0,1,0.295,2,0,0.524,,,0,0,,,,
right_hand_ltsdorsum_link,-0.0138519254056295,-0.0110937410955385,0.0132679570693964,0,0,0,0.00381702450822209,2.20960884106366E-06,-8.77183927430096E-09,-5.02100443579592E-07,2.14511420282561E-06,-9.89702549758137E-08,4.31209450668567E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ltsdorsum_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ltsdorsum_link.STL,,R5-1,h2,a2,right_hand_ltsdorsum_joint,fixed,0,0,0,0,0,0,right_hand_ltspalm_link,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_bend_link,0.000800179546620094,1.79023462720806E-15,0.0116298858976338,0,0,0,0.00264577949464747,1.62652287237183E-07,8.74941667270029E-21,1.88538931095092E-08,1.63545641461914E-07,7.33570457570837E-20,1.29890216374731E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_bend_link.STL,,Z1-3,rlf1,f1,right_hand_pinky_bend_joint,revolute,-0.007,-0.011478,0.044292,0,0,0,right_hand_ltspalm_link,-1,0,0,0.295,2,-1.047,0.175,,,0,0,,,,
right_hand_pinky_rota_link1,-0.00460077029145276,2.64744040009285E-06,0.0165208303125737,0,0,0,0.0167190244544675,2.97069949106801E-06,-2.97503040533095E-10,1.02020214279251E-07,3.49315791234232E-06,-6.80312563886065E-10,1.17769781402795E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link1.STL,,Z2-3,rlf2,f2,right_hand_pinky_rota_joint1,revolute,0.0055,0,0.0233,0,0,0,right_hand_pinky_bend_link,0,1,0,0.884,1.696,0,1.745,,,0,0,,,,
right_hand_pinky_rotaback_link1,-0.0199604212697446,-1.11555281101516E-06,-0.0153905493916474,0,0,0,0.00148470909199301,3.65714434883106E-07,-1.35959119652731E-11,1.57474468587893E-08,3.34387121480714E-07,7.17665543857127E-11,4.24619424489243E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rotaback_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rotaback_link1.STL,,Z3-3,rlf3,f3,right_hand_pinky_rotaback_joint1,fixed,0,0,0.0345,0,0,0,right_hand_pinky_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_rota_link2,-0.00361835937101084,3.42636230876783E-05,0.0221934729698274,0,0,0,0.0085937830810563,1.13123777562685E-06,2.1036121058429E-09,-5.59174299746308E-08,1.18838161805875E-06,-9.42023233305641E-10,3.64632289452185E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link2.STL,,Z4-3,rlf3,f3,right_hand_pinky_rota_joint2,revolute,0,0,0.0345,0,0,0,right_hand_pinky_rota_link1,0,1,0,0.302,1.98,0,1.571,,,0,0,,,,
right_hand_pinky_rotaback_link2,-0.0111115592994485,-3.272105010238E-05,-0.0136070806526215,0,0,0,0.00116147332875011,1.77419762095951E-07,-1.97119119619931E-11,8.32555368462061E-09,1.5658014694964E-07,-2.45993789311618E-10,2.83361287597658E-08,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rotaback_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rotaback_link2.STL,,Z5-3,rlf4,f4,right_hand_pinky_rotaback_joint2,fixed,-0.00450000001858889,0,0.0374168958516306,0,0,0,right_hand_pinky_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_rota_link3,-0.00042616959529944,2.78668800570564E-06,0.0156390621633755,0,0,0,0.00424361327994947,2.96153753956031E-07,9.21571917635259E-12,5.65967175600819E-09,3.01149869850599E-07,-1.277534000433E-10,1.39443664626218E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link3.STL,,Z6-3,rlf4,f4,right_hand_pinky_rota_joint3,revolute,-0.0045,0,0.037417,0,0,0,right_hand_pinky_rota_link2,0,1,0,0.295,2,0,1.571,,,0,0,,,,
right_hand_pinky_rota_link4,3.90312782094782E-16,-2.4903690221123E-14,-5.55111512312578E-17,0,0,0,3.18086256175967E-07,1.10054531238383E-13,-4.28601106391418E-29,-1.2679981997598E-31,8.05155835945416E-15,-6.15248408521938E-28,1.10054531238383E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link4.STL,,固定块-6,rlf5,f5,right_hand_pinky_rota_joint4,fixed,0.00791114209997283,0,0.018172818705828,0,0,0,right_hand_pinky_rota_link3,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_rota_link5,4.04190569902596E-16,-2.4903690221123E-14,0,0,0,0,3.18086256175967E-07,1.10054531238383E-13,8.71396133887041E-30,-4.41132281981832E-32,8.05155835945416E-15,-6.07778491120916E-28,1.10054531238383E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_rota_link5.STL,,固定块-7,rlf6,f6,right_hand_pinky_rota_joint5,fixed,0,0,0.0312512504715699,0,0,0,right_hand_pinky_rota_link3,0,0,0,,,,,,,0,0,,,,
